Home Team,Away Team,Kickoff,Date,League,Bookie
Girona,Barcelona,20:00,16/02,Spain • LaLiga,Betika
Cagliari,Us Lecce,19:45,16/02,Italy • Serie A,Betika
Macclesfield Fc,Brentford,19:30,16/02,England • FA Cup,Betika
Coventry,Middlesbrough,20:00,16/02,England • Championship,Betika
Colo Colo,Union La Calera,23:30,15/02,Chile • Primera Division,Betika
Central Espanol,Penarol Montevide,23:30,15/02,Uruguay • Primera Division,Betika
Boca Juniors,Ca Platense,22:30,15/02,Argentina • Primera LPF,Betika
Fbc Melgar,Cd Moquegua,23:30,15/02,Peru • Liga 1,Betika
Se Palmeiras,Guarani,23:30,15/02,"Brazil • Paulista, Serie A1",Betika
Santos Sp,Velo Clube,23:30,15/02,"Brazil • Paulista, Serie A1",Betika
Ponte Preta,Sao Paulo Fc,23:30,15/02,"Brazil • Paulista, Serie A1",Betika
Ca Rosario Centra,Barracas Central,01:00,16/02,Argentina • Primera LPF,Betika
Diriangen Fc Diri,Hyh Sebaco Fc,01:00,16/02,Nicaragua • Primera Division,Betika
Managua Fc,Indigenas De Mata,01:00,16/02,Nicaragua • Primera Division,Betika
Fortaleza,Boyaca Chico,01:30,16/02,Colombia • Liga DIMAYOR,Betika
Victoria,Olimpia,01:30,16/02,Honduras • Liga Nacional. Clau...,Betika
Xelaju Mc,Marquense,02:00,16/02,"Guatemala • Liga Nacional, Cla...",Betika
Persita Tangerang,Psbs Biak,08:30,16/02,Indonesia • Super League,Betika
Melbourne Victory,Eltham Redbacks,09:30,16/02,Australia • Victoria Premier L...,Betika
Gabala Fk,Sabah Masazir,13:00,16/02,Azerbaijan • Premier League,Betika
Railways,Sa Meanzel Bourgu,13:00,16/02,Tunisia • Ligue 2,Betika
Majd Fc,Dibba Al-Hisn,13:20,16/02,United Arab Emirates • First D...,Betika
Beitar Jerusalem,Maccabi Tel Aviv,18:30,16/02,Israel • Premier League,Betika
Atromitos Athens,Panserraikos,16:00,16/02,Greece • Super League,Betika
Al-Ahli Saudi Fc,Shabab Al Ahli Du,16:00,16/02,International Clubs • AFC Cham...,Betika
Sharjah Fc,Fc Nasaf,16:00,16/02,International Clubs • AFC Cham...,Betika
Fk Zeljeznicar Sa,Fk Rudar Prijedor,17:00,16/02,Bosnia & Herzegovina • Premije...,Betika
Al Shorta,Al Duhail Sc,18:15,16/02,International Clubs • AFC Cham...,Betika
Al Hilal Sfc,Al Wahda Fc (Uae),18:15,16/02,International Clubs • AFC Cham...,Betika
Jong Ajax Amsterd,Sc Cambuur,19:00,16/02,Netherlands • Eerste Divisie,Betika
Fluminense Fc,Bangu,21:00,16/02,"Brazil • Carioca, Serie A",Betika
Vila Nova,Anapolis Fc Go,22:30,16/02,Brazil • Goiano,Betika
Quindio,Barranquilla,00:30,17/02,Colombia • Torneo DIMAYOR,Betika
Bruk-Bet Termalic,Gornik Zabrze,18:00,16/02,Poland • Ekstraklasa,Betika
Real Sociedad B,Malaga Cf,19:30,16/02,Spain • LaLiga 2,Betika
Albion Fc,Ca Cerro,22:00,16/02,Uruguay • Primera Division,Betika
Montevideo City T,Ca Juventud De La,00:30,17/02,Uruguay • Primera Division,Betika
Shamakhi Fk,Turan Tovuz,10:30,16/02,Azerbaijan • Premier League,Betika
Jong Fc Utrecht,Willem Ii Tilburg,19:00,16/02,Netherlands • Eerste Divisie,Betika
Future Fc,Kahrabaa Ismailia,15:00,16/02,Egypt • Premier League,Betika
