Home Team,Away Team,Kickoff Time,Date
Boca Juniors,Platense,22:30,2026-02-16
Botafogo SP,Capivariano,23:30,2026-02-16
Bragantino,Novorizontino,23:30,2026-02-16
Mirassol,Portuguesa,23:30,2026-02-16
Palmeiras,Guarani,23:30,2026-02-16
Ponte Preta,Sao Paulo,23:30,2026-02-16
Primavera,Noroeste,23:30,2026-02-16
Santos,Velo Clube,23:30,2026-02-16
Sao Bernardo,Corinthians,23:30,2026-02-16
Colo Colo,Union La Calera,23:30,2026-02-16
Dep. Cali,Atl. Nacional,23:30,2026-02-16
Motagua,Marathon,23:15,2026-02-16
Cruz Azul,Tigres UANL,22:30,2026-02-16
Santos Laguna,Mazatlan FC,23:00,2026-02-16
Ferretti,Esteli,22:00,2026-02-16
Rancho Santana,UNAN-Managua,22:00,2026-02-16
Cerro Porteno,Nacional Asuncion,23:30,2026-02-16
FBC Melgar,Moquegua,23:30,2026-02-16
Central Esp.,Penarol,23:30,2026-02-16
Charleston (Usa),Tormenta (Usa),22:00,2026-02-16
Utah Royals W (Usa),Denver Summit W (Usa),22:00,2026-02-16
