Home Team,Away Team,Kickoff,Date,League,Bookie,Match URL
Coventry,Middlesbrou,20:00,16/02,"England - The Championship
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519423
Macclesfield,Brentford,19:30,16/02,"England - Fa Cup
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519730
Girona,Barcelona,20:00,16/02,"Spain - Primera Division
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519484
Cagliari,Lecce,19:45,16/02,"Italy - Serie A
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519702
Rio Ave,Moreirense,20:15,16/02,"Portugal - Primeira Liga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519989
Kasimpasa,Karagumruk,17:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519130
IMT,Javor,16:00,16/02,"Serbia - Superliga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519040
Borac C,Jedinstvo Ub,12:00,16/02,"Serbia - Prva Liga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526862
Al Ahli Jeddah,Al Ahli,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526351
Al Sharjah,Nasaf Qarshi,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526350
Al Hilal,Al Wahda Abu Dhabi,18:15,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526352
Al Shorta B,Al Duhail,18:15,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526353
CA Atlanta,Quilmes,20:00,16/02,"Argentina - Prim Nacional
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526461
Gimnasia J,Midland,20:00,16/02,"Argentina - Prim Nacional
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526460
Dep.Riestra,Newell'S,22:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519468
Comunicaciones A,Argentino Merlo,20:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526462
Shamakhi,Turan Tovuz,10:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526454
Qabala,Sabah,13:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526455
Zeljeznicar,Rudar Pr,17:00,16/02,"H - Premier Liga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526459
Al-Ittihad Bahrain,Al Ittifaq Maqaba,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526458
Bouri,Al Hala,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526457
Isa Town,Busaiteen,16:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526456
Santos W,Gremio W,22:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9522918
Internacional W,Sao Paolo W,23:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9522919
Villa Nova,Anapolis,22:30,16/02,"Brazil - Goiano Play Off
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527446
Nova Iguacu,Marica,20:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9525028
Fluminense,Bangu,21:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9525029
Guarany Bage,Inter Santa Maria,19:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526866
Botev Vratsa,Dobrudzha,15:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519347
Ludogorets II,Sportist Svoge,12:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520244
Vihren,CSKA Sofia II,12:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520255
Tigres,Independiente Yumbo,20:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520265
Quindio,Barranquilla,00:30,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9520270
Sonderjylland,Silkeborg,18:00,16/02,"Denmark - Superliga
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519428
Al Ittihad,Smouha,15:00,16/02,"Egypt - Premier League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527141
Modern Sport,Kahraba,15:00,16/02,"Egypt - Premier League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527142
Enppi,NB Egypt,18:00,16/02,"Egypt - Premier League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527143
Aveley,Chichester,19:45,16/02,"England - Non League Premier Isthmian
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526467
Everton M21,Burnley M21,16:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526463
Middlesbrou.M21,Nott.Forest M21,19:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526661
Sunderland M21,Reading M21,19:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526465
Wolverhampton M21,Brighton M21,19:00,16/02,"England - Premier League ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9526466
Bastia,Troyes,19:45,16/02,"France - Ligue ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9519883
Kamaz,Lokomotiv,12:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527436
Ufa,Aktobe,13:00,16/02,"Football",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527437
Real de Banjul,Team Rhino,16:00,16/02,"Gambia - Gfa League
Mon ",MozzartBet,https://www.mozzartbet.co.ke/en#/match/9527487
