match_id,home,away,league,kickoff,kickoff_time,status,odds_1,odds_x,odds_2,bookie,normalized_full
elche-ca osasuna-football,Elche CF,CA Osasuna,Football,23:00,2026-02-13 23:00:00,Not Started,2.85,3.202,2.651,Odibets,elche vs ca osasuna in football
nxt-patro eisden maasmechelen-football,Club NXT,Patro Eisden Maasmechelen,Football,22:00,2026-02-13 22:00:00,Not Started,3.65,3.552,1.941,Odibets,nxt vs patro eisden maasmechelen in football
koninklijke lierse sportkring-rfc seraing-football,Koninklijke Lierse Sportkring,RFC Seraing,Football,22:00,2026-02-13 22:00:00,Not Started,2.03,3.502,3.451,Odibets,koninklijke lierse sportkring vs rfc seraing in football
wrexham afc-ipswich town-football,Wrexham AFC,Ipswich Town,Football,22:45,2026-02-13 22:45:00,Not Started,3.3,3.352,2.121,Odibets,wrexham afc vs ipswich town in football
hull city-chelsea-football,Hull City,Chelsea FC,Football,22:45,2026-02-13 22:45:00,Not Started,9.8,6.002,1.251,Odibets,hull city vs chelsea in football
pisa-ac milan-football,Pisa SC,AC Milan,Football,22:45,2026-02-13 22:45:00,Not Started,6.2,4.102,1.571,Odibets,pisa vs ac milan in football
as monaco-nantes-football,AS Monaco,FC Nantes,Football,23:05,2026-02-13 23:05:00,Not Started,1.46,5.002,6.401,Odibets,as monaco vs nantes in football
stade rennais-paris saint germain-football,Stade Rennais FC,Paris Saint-Germain,Football,21:00,2026-02-13 21:00:00,Not Started,6.4,5.402,1.431,Odibets,stade rennais vs paris saint germain in football
borussia dortmund-fsv mainz-football,Borussia Dortmund,FSV Mainz,Football,22:30,2026-02-13 22:30:00,Not Started,1.62,4.602,5.401,Odibets,borussia dortmund vs fsv mainz in football
yellow red kv mechelen-krc genk-football,Yellow-Red KV Mechelen,KRC Genk,Football,22:45,2026-02-13 22:45:00,Not Started,3.35,3.452,2.081,Odibets,yellow red kv mechelen vs krc genk in football
randers-vejle bk-football,Randers FC,Vejle BK,Football,21:00,2026-02-13 21:00:00,Not Started,1.69,3.652,4.801,Odibets,randers vs vejle bk in football
fortuna dusseldorf-preussen 06 munster-football,Fortuna Dusseldorf,SC Preussen 06 Munster,Football,20:30,2026-02-13 20:30:00,Not Started,1.93,3.602,3.651,Odibets,fortuna dusseldorf vs preussen 06 munster in football
